Datum;Mastery;Zertifikats-Link
10.02.2025;Berater;https://koerting-institute.com/zertifikat/?credential=d0bb58f8-6c82-46ec-a717-e3698212ea83
14.06.2025;Telefonbot;https://koerting-institute.com/zertifikat/?credential=84770405-6680-48a5-92ee-6d800361e438
12.07.2025;Marketing;https://koerting-institute.com/zertifikat/?credential=a2fb1499-2264-4da6-b2dd-0cb866eed806
16.08.2025;Launch;https://koerting-institute.com/zertifikat/?credential=231e6162-ae37-4732-a2bc-58c4baf4f1fb
13.09.2025;Vertrieb;https://koerting-institute.com/zertifikat/?credential=abca5be9-6e05-4a1a-976a-04a537c00a00
11.10.2025;Webinar;https://koerting-institute.com/zertifikat/?credential=49225b5d-ac53-486d-aae6-97035cba22f5
8.11.2025;Projekt;https://koerting-institute.com/zertifikat/?credential=7bdc59e2-6d67-4220-8aa0-2bce55677087
17.01.2026;KI First Strategie;
21.02.2026;KI als Business Sparringspartner;
21.03.2026;KI im Marketing;
